;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
L'influence des medias tunisiens et la confiance des citoyens dans les medias en période électorale;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Echantillon :;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Sexe;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Nb;% obs.;;;;;;;;;;;;
Homme;967;52%;;;;;;;;;;;;
Femme;875;48%;;;;;;;;;;;;
Total;1842;100%;;;;;;;;;;;;
;;;;;;;;;;;;;;
Âge;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Nb;% obs.;;;;;;;;;;;;
Moins de 20;79;4%;;;;;;;;;;;;
De 20 à 29;441;24%;;;;;;;;;;;;
De 30 à 39;392;21%;;;;;;;;;;;;
De 40 à 49;363;20%;;;;;;;;;;;;
De 50 à 59;303;16%;;;;;;;;;;;;
60 et plus;264;14%;;;;;;;;;;;;
Total;1842;100%;;;;;;;;;;;;
;;;;;;;;;;;;;;
Csp;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Nb;% obs.;;;;;;;;;;;;
AB;130;7%;;;;;;;;;;;;
C;1190;65%;;;;;;;;;;;;
DE;522;28%;;;;;;;;;;;;
Total;1842;100%;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Echantillon :;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Régions;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Nb;% obs.;;;;;;;;;;;;
Grand Tunis;437;23,72%;;;;;;;;;;;;
Nord Est;272;14,77%;;;;;;;;;;;;
Nord Ouest;218;11,83%;;;;;;;;;;;;
Sahel;249;13,52%;;;;;;;;;;;;
Centre;225;12,21%;;;;;;;;;;;;
Sud Est;325;17,64%;;;;;;;;;;;;
Sud Ouest;116;6,30%;;;;;;;;;;;;
Total;1842;100,00%;;;;;;;;;;;;
;;;;;;;;;;;;;;
Gouvernorats;;;;;;;;;;;;;;
;Nb;% obs.;;;;;;;;;;;;
Tunis;178;9,66%;;;;;;;;;;;;
Ariana;89;4,83%;;;;;;;;;;;;
